StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,1.33685,0,37,37,2,1,0.74910301,BLACK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.134915,0,38,38,30,1,0.692372227,SHOES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,3.59021,0,39,39,141,1,0.039524914,SELLER,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.48692,0,40,40,139,1,0.240033273,SONG,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,1.91869,0,41,41,185,1,0.563677501,PLAN,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.45173,0,42,42,207,1,0.102261305,SLEEP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,1.155325,0,43,43,158,1,0.206321793,EGGS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,1.918645,0,44,44,85,1,0.290537125,BEFORE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,0.71806,0,45,45,221,1,0.684596534,FOOD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,1.505545,0,46,46,213,1,0.505086573,SICK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,2.052015,0,47,47,295,1,0.329057886,GUILT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.386885,0,48,48,239,1,0.859566691,LOVE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.403545,0,49,49,140,1,0.513462153,RIGHT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,0.736505,0,50,50,201,1,0.642131457,JEANS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,0.851245,0,51,51,224,1,0.551265897,DRESS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.88913,0,52,52,119,1,0.68933552,THROW,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,3.056475,0,53,53,170,1,0.892972342,PENCIL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,1.73908,0,54,54,327,1,0.406012152,SKIN,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.05141,0,55,55,180,1,0.596776993,MINIMUM,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,2.07261,0,56,56,65,1,0.218240095,READ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,3.488165,0,57,57,42,1,0.103207997,ALIVE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,0,58,58,311,1,0.789649172,STEAL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,3.25278,0,59,59,334,1,0.668643625,CELL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,0.7846,0,60,60,181,1,0.652963107,BANK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,3.453025,0,61,61,153,1,0.963519542,BEACH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,0.98479,0,62,62,319,1,0.496843659,STUPID,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,2.320795,0,63,63,73,1,0.213554661,STATES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,z,3.202775,0,64,64,15,1,0.767362569,HOOP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,slash,1.251635,0,65,65,175,1,0.487151799,ITCH,,,,,,,,,,,,,,,,,,,,,,,,
